implementacion,archivo,servicios,lineas,repeticion,tiempo_segundos
C,compose_020_servicios.yml,20,132,4,0.009343
C,compose_020_servicios.yml,20,132,5,0.008639
C,compose_020_servicios.yml,20,132,6,0.008887
C,compose_020_servicios.yml,20,132,7,0.008805
Rust,compose_020_servicios.yml,20,132,1,0.009622
Rust,compose_020_servicios.yml,20,132,2,0.009911
Rust,compose_020_servicios.yml,20,132,3,0.010132
Rust,compose_020_servicios.yml,20,132,4,0.008966
Rust,compose_020_servicios.yml,20,132,5,0.009412
Rust,compose_020_servicios.yml,20,132,6,0.010115
Rust,compose_020_servicios.yml,20,132,7,0.010030
Python,compose_020_servicios.yml,20,132,1,0.045258
Python,compose_020_servicios.yml,20,132,2,0.050421
Python,compose_020_servicios.yml,20,132,3,0.050952
Python,compose_020_servicios.yml,20,132,4,0.047052
Python,compose_020_servicios.yml,20,132,5,0.045398
Python,compose_020_servicios.yml,20,132,6,0.047731
Python,compose_020_servicios.yml,20,132,7,0.045796
C,compose_025_servicios.yml,25,164,1,0.009635
C,compose_025_servicios.yml,25,164,2,0.010871
C,compose_025_servicios.yml,25,164,3,0.010608
C,compose_025_servicios.yml,25,164,4,0.009501
C,compose_025_servicios.yml,25,164,5,0.009536
C,compose_025_servicios.yml,25,164,6,0.010813
C,compose_025_servicios.yml,25,164,7,0.009320
Rust,compose_025_servicios.yml,25,164,1,0.009801
Rust,compose_025_servicios.yml,25,164,2,0.010802
Rust,compose_025_servicios.yml,25,164,3,0.010731
Rust,compose_025_servicios.yml,25,164,4,0.010496
Rust,compose_025_servicios.yml,25,164,5,0.010076
Rust,compose_025_servicios.yml,25,164,6,0.011773
Rust,compose_025_servicios.yml,25,164,7,0.012031
Python,compose_025_servicios.yml,25,164,1,0.056925
Python,compose_025_servicios.yml,25,164,2,0.050096
Python,compose_025_servicios.yml,25,164,3,0.044763
Python,compose_025_servicios.yml,25,164,4,0.045493
Python,compose_025_servicios.yml,25,164,5,0.044572
Python,compose_025_servicios.yml,25,164,6,0.052694
Python,compose_025_servicios.yml,25,164,7,0.052378
C,compose_030_servicios.yml,30,191,1,0.008723
C,compose_030_servicios.yml,30,191,2,0.011469
C,compose_030_servicios.yml,30,191,3,0.009689
C,compose_030_servicios.yml,30,191,4,0.009513
C,compose_030_servicios.yml,30,191,5,0.009756
C,compose_030_servicios.yml,30,191,6,0.008923
C,compose_030_servicios.yml,30,191,7,0.009179
Rust,compose_030_servicios.yml,30,191,1,0.010483
Rust,compose_030_servicios.yml,30,191,2,0.008915
Rust,compose_030_servicios.yml,30,191,3,0.008668
Rust,compose_030_servicios.yml,30,191,4,0.008675
Rust,compose_030_servicios.yml,30,191,5,0.008517
Rust,compose_030_servicios.yml,30,191,6,0.009128
Rust,compose_030_servicios.yml,30,191,7,0.009010
Python,compose_030_servicios.yml,30,191,1,0.044406
Python,compose_030_servicios.yml,30,191,2,0.045830
Python,compose_030_servicios.yml,30,191,3,0.043266
Python,compose_030_servicios.yml,30,191,4,0.045584
Python,compose_030_servicios.yml,30,191,5,0.046619
Python,compose_030_servicios.yml,30,191,6,0.044661
Python,compose_030_servicios.yml,30,191,7,0.046158
C,compose_035_servicios.yml,35,222,1,0.008319
C,compose_035_servicios.yml,35,222,2,0.009119
C,compose_035_servicios.yml,35,222,3,0.009683
C,compose_035_servicios.yml,35,222,4,0.008955
C,compose_035_servicios.yml,35,222,5,0.009101
C,compose_035_servicios.yml,35,222,6,0.008627
C,compose_035_servicios.yml,35,222,7,0.008994
Rust,compose_035_servicios.yml,35,222,1,0.009657
Rust,compose_035_servicios.yml,35,222,2,0.010022
Rust,compose_035_servicios.yml,35,222,3,0.009539
Rust,compose_035_servicios.yml,35,222,4,0.010722
Rust,compose_035_servicios.yml,35,222,5,0.009942
Rust,compose_035_servicios.yml,35,222,6,0.009977
Rust,compose_035_servicios.yml,35,222,7,0.009482
Python,compose_035_servicios.yml,35,222,1,0.046399
Python,compose_035_servicios.yml,35,222,2,0.043160
Python,compose_035_servicios.yml,35,222,3,0.043533
Python,compose_035_servicios.yml,35,222,4,0.044463
Python,compose_035_servicios.yml,35,222,5,0.043196
Python,compose_035_servicios.yml,35,222,6,0.044163
Python,compose_035_servicios.yml,35,222,7,0.044827
C,compose_040_servicios.yml,40,255,1,0.009430
C,compose_040_servicios.yml,40,255,2,0.009906
C,compose_040_servicios.yml,40,255,3,0.009192
C,compose_040_servicios.yml,40,255,4,0.008971
C,compose_040_servicios.yml,40,255,5,0.009266
C,compose_040_servicios.yml,40,255,6,0.009004
C,compose_040_servicios.yml,40,255,7,0.008629
Rust,compose_040_servicios.yml,40,255,1,0.009878
Rust,compose_040_servicios.yml,40,255,2,0.010489
Rust,compose_040_servicios.yml,40,255,3,0.009560
Rust,compose_040_servicios.yml,40,255,4,0.010079
Rust,compose_040_servicios.yml,40,255,5,0.009798
Rust,compose_040_servicios.yml,40,255,6,0.009424
Rust,compose_040_servicios.yml,40,255,7,0.009826
Python,compose_040_servicios.yml,40,255,1,0.045376
Python,compose_040_servicios.yml,40,255,2,0.043763
Python,compose_040_servicios.yml,40,255,3,0.044196
Python,compose_040_servicios.yml,40,255,4,0.043273
Python,compose_040_servicios.yml,40,255,5,0.044730
Python,compose_040_servicios.yml,40,255,6,0.042992
Python,compose_040_servicios.yml,40,255,7,0.043958
